Iteration,ProcessID,VoluntaryContextSwaps,Non-VoluntaryContextswaps,Load, Frequency, NoopCount, CyclesStart, CyclesEnd, Delta
59,0,0,0,noop_unrolled,2914000000,1000,2121573842899000,2121573842899320,18446744073709551296
60,0,0,0,noop_unrolled,2914000000,1000,2121573842984004,2121573842984308,18446744073709551312
61,0,0,0,noop_unrolled,2914000000,1000,2121573843069508,2121573843069844,18446744073709551280
62,0,0,0,noop_unrolled,2914000000,1000,2121573843155348,2121573843155664,18446744073709551300
63,0,0,0,noop_unrolled,2914000000,1000,2121573843241212,2121573843241524,18446744073709551304
64,0,0,0,noop_unrolled,2914000000,1000,2121573843327004,2121573843327328,18446744073709551292
65,0,0,0,noop_unrolled,2914000000,1000,2121573843412540,2121573843412864,18446744073709551292
66,0,0,0,noop_unrolled,2914000000,1000,2121573843497536,2121573843497836,18446744073709551316
67,0,0,0,noop_unrolled,2914000000,1000,2121573843582936,2121573843583240,18446744073709551312
68,0,0,0,noop_unrolled,2914000000,1000,2121573843668416,2121573843668740,18446744073709551292
69,0,0,0,noop_unrolled,2914000000,1000,2121573843754168,2121573843754468,18446744073709551316
70,0,0,0,noop_unrolled,2914000000,1000,2121573843851840,2121573843852168,18446744073709551288
71,0,0,0,noop_unrolled,2914000000,1000,2121573843939196,2121573843939496,18446744073709551316
72,0,0,0,noop_unrolled,2914000000,1000,2121573844024484,2121573844024808,18446744073709551292
73,0,0,0,noop_unrolled,2914000000,1000,2121573844110188,2121573844110484,18446744073709551320
74,0,0,0,noop_unrolled,2914000000,1000,2121573844195516,2121573844195816,18446744073709551316
75,0,0,0,noop_unrolled,2914000000,1000,2121573844280776,2121573844281076,18446744073709551316
76,0,0,0,noop_unrolled,2914000000,1000,2121573844366016,2121573844366316,18446744073709551316
77,0,0,0,noop_unrolled,2914000000,1000,2121573844451440,2121573844451740,18446744073709551316
78,0,0,0,noop_unrolled,2914000000,1000,2121573844536752,2121573844537052,18446744073709551316
79,0,0,0,noop_unrolled,2914000000,1000,2121573844622208,2121573844622532,18446744073709551292
80,0,0,0,noop_unrolled,2914000000,1000,2121573844707516,2121573844707840,18446744073709551292
81,0,0,0,noop_unrolled,2914000000,1000,2121573844792920,2121573844793248,18446744073709551288
82,0,0,0,noop_unrolled,2914000000,1000,2121573844877952,2121573844878248,18446744073709551320
83,0,0,0,noop_unrolled,2914000000,1000,2121573844963632,2121573844963932,18446744073709551316
84,0,0,0,noop_unrolled,2914000000,1000,2121573845049472,2121573845049800,18446744073709551288
85,0,0,0,noop_unrolled,2914000000,1000,2121573845134592,2121573845134892,18446744073709551316
86,0,0,0,noop_unrolled,2914000000,1000,2121573845220020,2121573845220320,18446744073709551316
87,0,0,0,noop_unrolled,2914000000,1000,2121573845305732,2121573845306044,18446744073709551304
88,0,0,0,noop_unrolled,2914000000,1000,2121573845390892,2121573845391196,18446744073709551312
89,0,0,0,noop_unrolled,2914000000,1000,2121573845476640,2121573845476940,18446744073709551316
90,0,0,0,noop_unrolled,2914000000,1000,2121573845562936,2121573845563264,18446744073709551288
91,0,0,0,noop_unrolled,2914000000,1000,2121573845648936,2121573845649260,18446744073709551292
92,0,0,0,noop_unrolled,2914000000,1000,2121573845735280,2121573845735580,18446744073709551316
93,0,0,0,noop_unrolled,2914000000,1000,2121573845820836,2121573845821140,18446744073709551312
94,0,0,0,noop_unrolled,2914000000,1000,2121573845907096,2121573845907432,18446744073709551280
95,0,0,0,noop_unrolled,2914000000,1000,2121573845992432,2121573845992748,18446744073709551300
96,0,0,0,noop_unrolled,2914000000,1000,2121573846077704,2121573846078028,18446744073709551292
97,0,0,0,noop_unrolled,2914000000,1000,2121573846163000,2121573846163300,18446744073709551316
98,0,0,0,noop_unrolled,2914000000,1000,2121573846248764,2121573846249088,18446744073709551292
99,0,0,0,noop_unrolled,2914000000,1000,2121573846333928,2121573846334236,18446744073709551308

0,0,0,0,noop_unrolled,3069000000,1000,2121758302574111,2121758302575623,18446744073709550104
1,0,0,0,noop_unrolled,3069000000,1000,2121758302683151,2121758302683459,18446744073709551308
2,0,0,0,noop_unrolled,3069000000,1000,2121758302773715,2121758302774031,18446744073709551300
3,0,0,0,noop_unrolled,3069000000,1000,2121758302860519,2121758302860815,18446744073709551320
4,0,0,0,noop_unrolled,3069000000,1000,2121758302946035,2121758302946331,18446744073709551320
5,0,0,0,noop_unrolled,3069000000,1000,2121758303031571,2121758303031867,18446744073709551320
6,0,0,0,noop_unrolled,3069000000,1000,2121758303117679,2121758303117983,18446744073709551312
7,0,0,0,noop_unrolled,3069000000,1000,2121758303203851,2121758303204151,18446744073709551316
8,0,0,0,noop_unrolled,3069000000,1000,2121758303289843,2121758303290143,18446744073709551316
9,0,0,0,noop_unrolled,3069000000,1000,2121758303375999,2121758303376307,18446744073709551308
10,0,0,0,noop_unrolled,3069000000,1000,2121758303461563,2121758303461859,18446744073709551320
11,0,0,0,noop_unrolled,3069000000,1000,2121758303547119,2121758303547415,18446744073709551320
12,0,0,0,noop_unrolled,3069000000,1000,2121758303632847,2121758303633147,18446744073709551316
13,0,0,0,noop_unrolled,3069000000,1000,2121758303718631,2121758303718939,18446744073709551308
14,0,0,0,noop_unrolled,3069000000,1000,2121758303840287,2121758303840627,18446744073709551276
15,0,0,0,noop_unrolled,3069000000,1000,2121758303928955,2121758303929267,18446744073709551304
16,0,0,0,noop_unrolled,3069000000,1000,2121758304014747,2121758304015043,18446744073709551320
17,0,0,0,noop_unrolled,3069000000,1000,2121758304100399,2121758304100691,18446744073709551324
18,0,0,0,noop_unrolled,3069000000,1000,2121758304186895,2121758304187191,18446744073709551320
19,0,0,0,noop_unrolled,3069000000,1000,2121758304272827,2121758304273135,18446744073709551308
20,0,0,0,noop_unrolled,3069000000,1000,2121758304358391,2121758304358699,18446744073709551308
21,0,0,0,noop_unrolled,3069000000,1000,2121758304444103,2121758304444411,18446744073709551308
22,0,0,0,noop_unrolled,3069000000,1000,2121758304529615,2121758304529911,18446744073709551320
23,0,0,0,noop_unrolled,3069000000,1000,2121758304614991,2121758304615291,18446744073709551316
24,0,0,0,noop_unrolled,3069000000,1000,2121758304700011,2121758304700319,18446744073709551308
25,0,0,0,noop_unrolled,3069000000,1000,2121758304785579,2121758304785891,18446744073709551304
26,0,0,0,noop_unrolled,3069000000,1000,2121758304871031,2121758304871327,18446744073709551320
27,0,0,0,noop_unrolled,3069000000,1000,2121758304956711,2121758304957019,18446744073709551308
28,0,0,0,noop_unrolled,3069000000,1000,2121758305043487,2121758305043795,18446744073709551308
29,0,0,0,noop_unrolled,3069000000,1000,2121758305129119,2121758305129419,18446744073709551316
30,0,0,0,noop_unrolled,3069000000,1000,2121758305214591,2121758305214887,18446744073709551320
31,0,0,0,noop_unrolled,3069000000,1000,2121758305301215,2121758305301527,18446744073709551304
32,0,0,0,noop_unrolled,3069000000,1000,2121758305386983,2121758305387283,18446744073709551316
33,0,0,0,noop_unrolled,3069000000,1000,2121758305473451,2121758305473751,18446744073709551316
34,0,0,0,noop_unrolled,3069000000,1000,2121758305559019,2121758305559327,18446744073709551308
35,0,0,0,noop_unrolled,3069000000,1000,2121758305644607,2121758305644915,18446744073709551308
36,0,0,0,noop_unrolled,3069000000,1000,2121758305729795,2121758305730103,18446744073709551308
37,0,0,0,noop_unrolled,3069000000,1000,2121758305815367,2121758305815663,18446744073709551320
38,0,0,0,noop_unrolled,3069000000,1000,2121758305900895,2121758305901191,18446744073709551320
39,0,0,0,noop_unrolled,3069000000,1000,2121758305986455,2121758305986755,18446744073709551316
40,0,0,0,noop_unrolled,3069000000,1000,2121758306072095,2121758306072403,18446744073709551308
41,0,0,0,noop_unrolled,3069000000,1000,2121758306157479,2121758306157775,18446744073709551320
42,0,0,0,noop_unrolled,3069000000,1000,2121758306242751,2121758306243051,18446744073709551316
43,0,0,0,noop_unrolled,3069000000,1000,2121758306328043,2121758306328351,18446744073709551308
44,0,0,0,noop_unrolled,3069000000,1000,2121758306412915,2121758306413215,18446744073709551316
45,0,0,0,noop_unrolled,3069000000,1000,2121758306498247,2121758306498559,18446744073709551304
46,0,0,0,noop_unrolled,3069000000,1000,2121758306583815,2121758306584127,18446744073709551304
47,0,0,0,noop_unrolled,3069000000,1000,2121758306669111,2121758306669407,18446744073709551320
48,0,0,0,noop_unrolled,3069000000,1000,2121758306754179,2121758306754475,18446744073709551320
49,0,0,0,noop_unrolled,3069000000,1000,2121758306850599,2121758306850923,18446744073709551292
50,0,0,0,noop_unrolled,3069000000,1000,2121758306937763,2121758306938071,18446744073709551308
51,0,0,0,noop_unrolled,3069000000,1000,2121758307023299,2121758307023599,18446744073709551316
52,0,0,0,noop_unrolled,3069000000,1000,2121758307108703,2121758307109007,18446744073709551312
53,0,0,0,noop_unrolled,3069000000,1000,2121758307193863,2121758307194159,18446744073709551320
54,0,0,0,noop_unrolled,3069000000,1000,2121758307278675,2121758307278975,18446744073709551316
55,0,0,0,noop_unrolled,3069000000,1000,2121758307363595,2121758307363891,18446744073709551320
56,0,0,0,noop_unrolled,3069000000,1000,2121758307448311,2121758307448607,18446744073709551320
57,0,0,0,noop_unrolled,3069000000,1000,2121758307533023,2121758307533319,18446744073709551320
58,0,0,0,noop_unrolled,3069000000,1000,2121758307617695,2121758307617995,18446744073709551316
59,0,0,0,noop_unrolled,3069000000,1000,2121758307702883,2121758307703183,18446744073709551316
60,0,0,0,noop_unrolled,3069000000,1000,2121758307787627,2121758307787923,18446744073709551320
61,0,0,0,noop_unrolled,3069000000,1000,2121758307872567,2121758307872875,18446744073709551308
62,0,0,0,noop_unrolled,3069000000,1000,2121758307957683,2121758307957991,18446744073709551308
63,0,0,0,noop_unrolled,3069000000,1000,2121758308042763,2121758308043071,18446744073709551308
64,0,0,0,noop_unrolled,3069000000,1000,2121758308128283,2121758308128595,18446744073709551304
65,0,0,0,noop_unrolled,3069000000,1000,2121758308215379,2121758308215687,18446744073709551308
66,0,0,0,noop_unrolled,3069000000,1000,2121758308301211,2121758308301523,18446744073709551304
67,0,0,0,noop_unrolled,3069000000,1000,2121758308386891,2121758308387187,18446744073709551320
68,0,0,0,noop_unrolled,3069000000,1000,2121758308472323,2121758308472623,18446744073709551316
69,0,0,0,noop_unrolled,3069000000,1000,2121758308557867,2121758308558167,18446744073709551316
70,0,0,0,noop_unrolled,3069000000,1000,2121758308642983,2121758308643291,18446744073709551308
71,0,0,0,noop_unrolled,3069000000,1000,2121758308728231,2121758308728543,18446744073709551304
72,0,0,0,noop_unrolled,3069000000,1000,2121758308813355,2121758308813663,18446744073709551308
73,0,0,0,noop_unrolled,3069000000,1000,2121758308898363,2121758308898659,18446744073709551320
74,0,0,0,noop_unrolled,3069000000,1000,2121758308983427,2121758308983727,18446744073709551316
75,0,0,0,noop_unrolled,3069000000,1000,2121758309068587,2121758309068887,18446744073709551316
76,0,0,0,noop_unrolled,3069000000,1000,2121758309153579,2121758309153875,18446744073709551320
77,0,0,0,noop_unrolled,3069000000,1000,2121758309238567,2121758309238863,18446744073709551320
78,0,0,0,noop_unrolled,3069000000,1000,2121758309323639,2121758309323935,18446744073709551320
79,0,0,0,noop_unrolled,3069000000,1000,2121758309408747,2121758309409047,18446744073709551316
80,0,0,0,noop_unrolled,3069000000,1000,2121758309493687,2121758309493999,18446744073709551304
81,0,0,0,noop_unrolled,3069000000,1000,2121758309578819,2121758309579115,18446744073709551320
82,0,0,0,noop_unrolled,3069000000,1000,2121758309663759,2121758309664059,18446744073709551316
83,0,0,0,noop_unrolled,3069000000,1000,2121758309748571,2121758309748867,18446744073709551320
84,0,0,0,noop_unrolled,3069000000,1000,2121758309833491,2121758309833787,18446744073709551320
85,0,0,0,noop_unrolled,3069000000,1000,2121758309926779,2121758309927083,18446744073709551312
86,0,0,0,noop_unrolled,3069000000,1000,2121758310014515,2121758310014823,18446744073709551308
87,0,0,0,noop_unrolled,3069000000,1000,2121758310100299,2121758310100599,18446744073709551316
88,0,0,0,noop_unrolled,3069000000,1000,2121758310185515,2121758310185811,18446744073709551320
89,0,0,0,noop_unrolled,3069000000,1000,2121758310270947,2121758310271247,18446744073709551316
90,0,0,0,noop_unrolled,3069000000,1000,2121758310356011,2121758310356307,18446744073709551320
91,0,0,0,noop_unrolled,3069000000,1000,2121758310441519,2121758310441831,18446744073709551304
92,0,0,0,noop_unrolled,3069000000,1000,2121758310527291,2121758310527591,18446744073709551316
93,0,0,0,noop_unrolled,3069000000,1000,2121758310612839,2121758310613143,18446744073709551312
94,0,0,0,noop_unrolled,3069000000,1000,2121758310698711,2121758310699007,18446744073709551320
95,0,0,0,noop_unrolled,3069000000,1000,2121758310783979,2121758310784287,18446744073709551308
96,0,0,0,noop_unrolled,3069000000,1000,2121758310869247,2121758310869547,18446744073709551316
97,0,0,0,noop_unrolled,3069000000,1000,2121758310955751,2121758310956047,18446744073709551320
98,0,0,0,noop_unrolled,3069000000,1000,2121758311041459,2121758311041755,18446744073709551320
99,0,0,0,noop_unrolled,3069000000,1000,2121758311126699,2121758311126995,18446744073709551320

